"","CODIGO","DCS_avg","IHD_avg","CVD_avg","DM_avg","int_dens","int_dens_2","slope_mean","NDVI_mean","lu_entropy_a","p_area_ind","sl_p_ind","POI_dens","POI_dens_2","pdens_2017","pdens_2_t","f_hig_SES"
"1","0101",169.074713845904,77.279895618537,36.8070632782784,18.2071976930348,73.1379968123679,5349.16657772594,31.1098876953125,0.330408921697731,0.797600297208224,0,0,37.434,1401.304356,38248.9618491624,1462.98308253868,0
"2","0102",170.483575989017,46.2157899768328,68.0165004762376,5.65337001375516,64.2874962081549,4132.88216871353,30.2305741743608,0.365171226295265,0.716449249892799,0,0,37.789,1428.008521,32672.5960210696,1067.49853075601,0
"3","0103",190.721083054068,84.1123575289635,60.9221946598263,11.8733590838284,163.542056864189,26746.0043633696,25.9266564711085,0.261788208007812,0.760306789187535,0,0.0125178973465619,47.013,2210.222169,51575.4694029255,2660.02904413211,0
"4","0104",157.646101307004,76.4695347507734,28.6866628229283,0,159.479592264201,25433.7403487559,23.5175628662109,0.276357693142361,0.874540083665973,0,0,49.036,2404.529296,53040.4205394329,2813.2862109999,0
"5","0105",176.137570574263,60.8227326186702,56.6241879344347,6.8822693256407,216.438625420796,46845.6785740435,21.1289247455019,0.315496904673684,0.725426317760163,0,0,28.365,804.573225,59123.9007271307,3495.63563719161,0
"6","0106",159.249140036807,77.6217779294707,35.7437964460037,6.34659046426055,163.639567038589,26777.9079005768,20.8327278926455,0.265248971615198,0.741703239596191,0,0,67.087,4500.665569,51342.2518745215,2636.02682754681,0
"7","0107",149.80693308768,61.7318986105973,36.1138878573357,8.74759306803594,180.889635480818,32721.060224383,24.36279296875,0.219015031413459,0.571258466440763,0,0,42.812,1832.867344,53629.0090145921,2876.0706078872,0
"8","0109",89.3500905797101,89.3500905797101,0,0,55.8823125684442,3122.83285799729,28.9497918023003,0.358379217294546,0.741137500308426,0,0,41.882,1754.101924,35850.9309912996,1285.28925294293,0
"9","0110",139.629966551626,73.2652329749104,0,48.7096774193548,163.547891476142,26747.912806292,38.8516845703125,0.271842776118098,0.774310684032476,0,0,29.715,882.981225,42343.6481222041,1792.98453629704,0
"10","0111",410.220998778066,179.739120916983,107.921835961939,0,10.8586173755233,117.909571308016,36.9566926033266,0.449349553638716,0.671507671540132,0,0,25.319,641.051761,20562.4269749007,422.813403098123,0
"11","0112",192.667217565259,59.0349137177233,27.5719607116383,10.6338028169014,8.29834224838969,68.8624840714093,40.7806911892361,0.393710198094003,0.653555803477082,0,0,24.877,618.865129,26267.6657895695,689.99026603252,0
"12","0201",120.129888788516,52.6058164748594,19.1771659018217,11.0965146704533,164.441057749041,27040.8614736233,20.6549809773763,0.243029578526815,0.773182074536114,0,0.0281295135949828,46.95,2204.3025,72021.1076870776,5187.03995247363,0
"13","0202",101.308026676846,35.2403962694755,27.7279336106644,8.66504223521767,185.242455105619,34314.7671735574,13.22765625,0.275062047847183,0.734903889415388,0.107578142389897,1.0978522627026,14.614,213.568996,57822.9775603736,3343.49673394746,0
"14","0203",142.737490116256,87.735185504151,18.6810776942356,7,141.665424215526,20069.092418165,21.3555874294705,0.223996801937328,0.591742786609757,0,0.009182508470015,25.739,662.496121,76239.3011126279,5812.43103414195,0
"15","0204",135.879411692016,51.8602935843035,46.1236873890055,0,203.220262821376,41298.475221189,13.7884328741776,0.222388901524038,0.872833732122897,0.0226076134200108,0.845866807266926,49.231,2423.691361,34344.5703668093,1179.54951368072,0
"16","0205",122.83398440755,38.2904378054396,35.5731729422097,11.0359588052896,108.375458818546,11745.2400741304,18.2579709007627,0.298851073257566,0.87206206898777,0.00493991199003414,0.482320308220526,11.708,137.077264,39315.3995888339,1545.70064482968,0
"17","0206",201.425259199714,70.3600324324789,33.7224780300286,4.20517560073937,87.7409014494423,7698.46578716074,18.1309020996094,0.286869654579768,0.94646364183453,0.082685369435899,0.0013572413809102,30.688,941.753344,38784.7635404495,1504.25788288858,0
"18","0207",201.673652667013,86.8825041668561,44.5156763893385,23.3508182916233,274.680655389417,75449.4624451598,22.2400341796875,0.212660205456638,0.800682263143772,0,0.0140886107250693,56.64,3208.0896,65253.6954931878,4258.04477551767,0
"19","0208",172.042458339315,70.1809441337385,45.4101398830684,0,139.814382098512,19548.0614415887,14.3779663085938,0.195993654287545,0.938295287642303,0.00184629491451742,0.0206713423589748,34.929,1220.035041,46273.84831297,2141.26903769175,0
"20","0209",140.348385842204,17.9770020899053,24.7064211851112,8.85508181829048,136.414242589295,18608.8455812111,19.0549385764382,0.256341952369327,0.718714970782735,0,0,36.701,1346.963401,51596.286931749,2662.17682514337,0
"21","0210",182.836633231544,58.4551877242882,23.1773484480004,24.4600209242586,189.922223977098,36070.451160407,14.401360144982,0.186788796478847,0.781765403481512,0,2.01109052233837,29.523,871.607529,54443.9442467694,2964.14306514533,0
"22","0211",170.783208634994,93.639834699278,12.4041317404792,22.7059033940225,234.959911464998,55206.1599956399,11.4635498046875,0.197303565772804,0.817939285241302,0,2.34596456024234,30.102,906.130404,43159.9831184202,1862.78414278232,0
"23","0301",119.204351706068,56.0827101032863,24.2704979523787,1.13127797115863,117.077057330488,13707.0373531664,21.1222264489462,0.271040742620459,0.778426997179361,0,0,35.37,1251.0369,65084.0772630736,4235.93711318574,0.00167978234265498
"24","0302",125.838226270401,59.3094907993561,28.3814321368047,8.59934788232004,241.963868254193,58546.5135405322,24.2014984955659,0.263987051619088,0.875979867245375,0,0,31.199,973.377601,45842.2759206325,2101.51426158341,0
"25","0303",167.370541730524,67.5222914676134,38.3733648955632,9.92655426950654,123.59986629666,15276.9269485522,17.5340394365027,0.228425569952773,0.523446085313566,0,0,18.012,324.432144,33806.3721738469,1142.87079955665,0
"26","0304",191.85539203944,85.9558111294176,49.6646259647443,16.2169274537696,244.331659840594,59697.9600004596,23.1771686833079,0.230836902965199,0.770485732895628,0,0,28.725,825.125625,37548.6827346457,1409.90357510708,0
"27","0305",210.108482235886,111.217788899782,44.8034102788978,26.032691502671,137.764965127412,18979.1856165571,27.8392740885417,0.270323836409652,0.726646448616977,0,0,36.935,1364.194225,38103.5934227046,1451.88383172278,0
"28","0306",124.185191190053,39.9287656033287,37.5389820535452,16.1673063897042,133.123286399966,17721.8093819274,16.1045112609863,0.340507639625858,0.849722627669802,0,0,63.347,4012.842409,25129.8281545447,631.508263076949,0
"29","0307",307.383299346648,116.047980502974,102.659667933029,44.8163061739809,170.393763967489,29034.0347990082,14.4912067281789,0.30134471078937,0.788640379846807,0,0,33.224,1103.834176,23402.1904267507,547.662516769903,0
"30","0308",184.753269074397,77.7423138513848,42.3871883677663,9.83378170578372,155.55834995789,24198.4002416214,16.8927683275799,0.267916016659494,0.716930486750278,0,0,34.842,1213.964964,28374.6469166224,805.120587642987,0
"31","0309",146.433122673562,57.2571663004172,31.8850960164262,18.3099021022601,157.097747309126,24679.7022096019,27.2823401162791,0.234899232445694,0.644064171786953,0,0,18.947,358.988809,48955.3194134976,2396.62329887757,0
"32","0310",253.594708824466,124.972486602244,0,13.7777777777778,44.3997682419044,1971.33941993482,41.0266155374461,0.44828306122377,0.537476947924391,0,0,0,0,23196.4860183412,538.076963599101,0
"33","0311",410.417322624737,139.855308796858,105.90561990562,63.7936507936508,73.3535694490925,5380.74615092284,37.6277262369792,0.469465431755862,0.542885362037319,0,0,16.659,277.522281,13674.0298501973,186.979092344086,0
"34","0312",286.555036587037,108.427330959332,106.222943722944,0,19.4287045162527,377.474559179857,33.6967569986979,0.520085951861213,0.650524807816277,0,0,19.415,376.942225,13034.66906236,169.902597565246,0
"35","0313",60.4909819749709,16.9343891402715,19.1612512928595,0,19.8580690113659,394.342904860171,39.4984619140625,0.453553189936372,0.574974022421584,0,0,11.339,128.572921,21695.0889198861,470.676883241763,0
"36","0314",82.7469387755102,52.5428571428571,0,0,6.43948150607094,41.4669220670297,50.1587863498264,0.539270724469458,0.555644446283996,0,0,0,0,18172.1707387666,330.227789358884,0
"37","0401",130.781260269109,76.8401844537407,15.5274081709652,5.78597343320265,153.414522830956,23536.01581545,13.7157592773438,0.233885211145093,0.775778258044919,0,0,49.991,2499.100081,39736.2875597318,1578.9725490297,0
"38","0402",125.375921083631,61.700734976937,18.7019660907259,1.60211267605634,136.674195839164,18679.8358082821,9.852001953125,0.246886874630243,0.690032507774867,0,0,13.889,192.904321,44547.5387807749,1984.48321142465,0
"39","0403",86.3977826111321,43.2718446601942,33.688437950938,6.26262626262626,177.862988582794,31635.2427076031,11.2468917281539,0.334783002364734,0.771468423781936,0,2.34596456024234,41.016,1682.312256,35957.7448099086,1292.95941181451,0
"40","0404",149.583948099685,65.0390454021056,27.2829462768643,23.4859637140796,169.149182355705,28611.4458916035,11.2863713314659,0.212241781633453,0.754955527778641,0,0,37.562,1410.903844,49344.2900111043,2434.85895669997,0
"41","0405",113.804555819741,36.1438037134298,20.2852227033465,5.8364085510156,153.537112867639,23573.6450277301,7.6957841352983,0.280943012414483,0.807659471239023,0,9.48507850023925,35.247,1242.351009,85279.7059698552,7272.62825030495,0
